AWB,ConsigneePostal,KiloWgt,PieceQty,CommitDate,DestLocCd,CourierRoute
7.76E+11,56100,5,1,19/9/2003,KUL,
7.76E+11,40460,4.5,1,19/9/2003,XKL,919916
7.76E+11,83000,0.5,1,19/9/2012,BTU,
7.90E+11,42000,0.5,1,19/9/2010,XKL,KAPAR+
8.12E+11,50480,0.5,1,19/9/2010,KUL,859
7.76E+11,50450,0.5,1,19/9/2010,KUL,827
7.76E+11,43300,0.5,1,19/9/2010,KUL,880
7.76E+11,64000,0.2,1,19/9/2010,MKZ,
7.76E+11,43300,0.2,1,19/9/2013,KUL,863
4.94E+11,20000,0.8,1,19/9/2013,KBR,
7.90E+11,43000,0.2,1,19/9/2013,RDN,
7.76E+11,42200,0.6,1,19/9/2013,XKL,KAPAR+
7.06E+11,47300,2.3,2,19/9/2018,XKL,MKZAC8
1.14E+11,47620,0.5,1,19/9/2012,XKL,939934
1.18E+11,64000,2,1,19/9/2010,MKZ,
7.90E+11,55000,0.5,1,19/9/2017,KUL,813+
7.76E+11,64000,11.3,1,19/9/2012,MKZ,
1.04E+11,47400,0.9,1,19/9/2017,XKL,971972
4.95E+11,47820,0.4,1,19/9/2017,XKL,979976
7.76E+11,40400,10,2,19/9/2017,XKL,921926
7.76E+11,64000,1.5,1,19/9/2011,MKZ,
7.76E+11,36000,0.5,1,19/9/2017,SZB,
1.22E+11,40150,7.5,1,19/9/2012,XKL,920922
7.76E+11,81300,3.9,1,19/9/2017,JHB,
7.76E+11,81550,4.5,1,19/9/2013,JHB,
7.90E+11,56100,0.9,1,19/9/2017,KUL,890
7.90E+11,55000,1.5,1,19/9/2017,KUL,813+
1.17E+11,50470,0.5,1,19/9/2017,KUL,850
6.42E+11,50250,2.1,1,19/9/2017,KUL,823+
7.05E+11,58000,13.9,2,19/9/2017,KUL,871
7.90E+11,47000,5,1,19/9/2013,XKL,985982
1.22E+11,40400,0.5,1,19/9/2017,XKL,921926
7.90E+11,58100,1.3,1,19/9/2017,KUL,870
4.74E+11,68000,1.4,1,19/9/2017,KUL,893
4.74E+11,84000,1.4,1,19/9/2017,MUR,
4.74E+11,84000,1.4,1,19/9/2017,MUR,
4.74E+11,48000,1.4,1,19/9/2017,XKL,RAWANG
7.90E+11,50000,3,1,19/9/2017,KUL,820
7.90E+11,47650,0.5,1,19/9/2017,XKL,927928
1.12E+11,25000,0.8,1,19/9/2017,KUA,
7.90E+11,81550,3.5,1,19/9/2017,JHB,
1.03E+11,47800,0.7,1,19/9/2017,XKL,971976
1.12E+11,50250,1.9,1,19/9/2017,KUL,823
4.67E+11,59100,0.5,1,19/9/2017,KUL,855
1.11E+11,40400,0.1,1,19/9/2013,XKL,921926
7.76E+11,50400,0.1,1,19/9/2017,KUL,813
7.90E+11,40160,0.4,1,19/9/2017,XKL,RAWANG
7.90E+11,23100,1.1,1,19/9/2018,KBR,
7.76E+11,47630,0.5,1,19/9/2012,XKL,939934
1.12E+11,68100,1.5,1,19/9/2017,KUL,849
7.76E+11,40000,0.5,1,19/9/2023,XKL,911912
8.13E+11,81100,0.5,1,19/9/2012,JHB,
7.76E+11,40400,22.7,1,19/9/2017,XKL,925928
7.27E+11,46200,16.8,1,19/9/2017,XKL,RAWANG
7.90E+11,43950,2.6,1,19/9/2018,SZB,
1.23E+11,88300,2.7,1,19/9/2018,BKI,
1.23E+11,96000,2.7,1,19/9/2019,ODN,
1.23E+11,50480,2.7,1,19/9/2017,KUL,859
1.23E+11,81100,11.3,1,19/9/2017,JHB,
1.23E+11,98000,2.7,1,19/9/2019,ODN,
1.15E+11,81400,50.8,7,19/9/2017,JHB,
7.76E+11,64000,135,9,19/9/2017,MKZ,
7.76E+11,48000,2,1,19/9/2017,XKL,RAWANG
1.14E+11,70400,1.4,1,19/9/2017,RDN,
7.76E+11,50470,2.3,1,19/9/2017,KUL,850
1.12E+11,98000,1,1,19/9/2019,ODN,
7.90E+11,63000,1.1,1,19/9/2017,XKL,969938
7.90E+11,68000,2,1,19/9/2017,KUL,814
6.77E+11,52200,5.7,1,19/9/2017,KUL,844+
7.90E+11,88400,4.9,3,19/9/2018,BKI,
7.76E+11,64000,2.7,1,19/9/2012,MKZ,
7.90E+11,47000,5.3,1,19/9/2017,XKL,985982
1.23E+11,93350,2.7,1,19/9/2018,KCH,
1.14E+11,64000,8.8,1,19/9/2017,MKZ,
1.12E+11,40460,0.4,1,19/9/2017,XKL,929928
7.90E+11,41150,5.2,1,19/9/2017,XKL,917912
7.90E+11,24300,2,1,19/9/2018,KBR,
7.90E+11,75250,2.6,1,19/9/2017,MKZ,
7.90E+11,58200,0.6,1,19/9/2017,KUL,877
7.76E+11,50480,0.5,1,19/9/2017,KUL,859
1.12E+11,46100,0.5,1,19/9/2017,KUL,865
7.76E+11,64000,2.7,1,19/9/2012,MKZ,
7.76E+11,52100,1.4,1,19/9/2017,KUL,840
7.76E+11,47610,0.2,1,19/9/2012,XKL,937934
7.90E+11,47410,2.8,1,19/9/2017,XKL,955956
1.23E+11,75250,16.8,1,19/9/2017,MKZ,
